location,location2,Reference,SpeciesA_db,SpeciesA_query,SpeciesA_Family,SpeciesA_Class,SpeciesA_Order,SpeciesA_Kingdom,SpeciesB_db,SpeciesB_query,SpeciesB_Family,SpeciesB_Class,SpeciesB_Order,SpeciesB_Kingdom,,,,,,
"Sainte Luce, Madagascar",,"Bollen, A. van Elsacker, L. Ganzhorn, J. 2004. Relations between fruits and disperser assemblages in a Malagasy littoral forest: a community level approach. Journal of Tropical Ecology. 20:599-612",ncbi,Cheirogaleus,Cheirogaleidae,Mammalia,Primates,Metazoa,ncbi,Leptolaena sp.,NA,NA,NA,NA,,,,,,
"Sainte Luce, Madagascar",,"Bollen, A. van Elsacker, L. Ganzhorn, J. 2004. Relations between fruits and disperser assemblages in a Malagasy littoral forest: a community level approach. Journal of Tropical Ecology. 20:599-612",ncbi,Cheirogaleus,Cheirogaleidae,Mammalia,Primates,Metazoa,ncbi,Sarcolaena multiflora,Sarcolaenaceae,NA,Malvales,Viridiplantae,,,,,,
"Sainte Luce, Madagascar",,"Bollen, A. van Elsacker, L. Ganzhorn, J. 2004. Relations between fruits and disperser assemblages in a Malagasy littoral forest: a community level approach. Journal of Tropical Ecology. 20:599-612",ncbi,Cheirogaleus,Cheirogaleidae,Mammalia,Primates,Metazoa,ncbi,Schizolaena elongata,Sarcolaenaceae,NA,Malvales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Combretaceae,Combretaceae,NA,Myrtales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus depressa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus globbosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus pellucido-punctata,Moraceae,NA,Rosales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus racemosa,Moraceae,NA,Rosales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus,Moraceae,NA,Rosales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Glochidion obscurum,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Hydnocarpus woodii,NA,NA,NA,NA,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Mallotus muticus,Euphorbiaceae,NA,Malpighiales,Viridiplantae,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Merrenia borneensis ,NA,NA,NA,NA,,,,,,
Borneo,,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",ncbi,Nasalis larvatus,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Microcos antidesmifolia,NA,NA,NA,NA,,,,,,
Carlos Botelho State Park,Southeastern Brazil,"Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functional redundancy and complementarities of seed dispersal by the last neotropical megafrugivores. Plos One, 8(2), e56252.",ncbi,Brachyteles arachnoides,Atelidae,Mammalia,Primates,Metazoa,ncbi,Attalea dubia,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Carlos Botelho State Park,Southeastern Brazil,"Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functional redundancy and complementarities of seed dispersal by the last neotropical megafrugivores. Plos One, 8(2), e56252.",ncbi,Brachyteles arachnoides,Atelidae,Mammalia,Primates,Metazoa,ncbi,Syagrus romanzoffiana,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Carlos Botelho State Park,Southeastern Brazil,"Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functional redundancy and complementarities of seed dispersal by the last neotropical megafrugivores. Plos One, 8(2), e56252.",ncbi,Tapirus terrestris,Tapiridae,Mammalia,Perissodactyla,Metazoa,ncbi,Acrocomia aculeata,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Carlos Botelho State Park,Southeastern Brazil,"Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functional redundancy and complementarities of seed dispersal by the last neotropical megafrugivores. Plos One, 8(2), e56252.",ncbi,Tapirus terrestris,Tapiridae,Mammalia,Perissodactyla,Metazoa,ncbi,Butia capitata,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Carlos Botelho State Park,Southeastern Brazil,"Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functional redundancy and complementarities of seed dispersal by the last neotropical megafrugivores. Plos One, 8(2), e56252.",ncbi,Tapirus terrestris,Tapiridae,Mammalia,Perissodactyla,Metazoa,ncbi,Elaeis guineensis,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Carlos Botelho State Park,Southeastern Brazil,"Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functional redundancy and complementarities of seed dispersal by the last neotropical megafrugivores. Plos One, 8(2), e56252.",ncbi,Tapirus terrestris,Tapiridae,Mammalia,Perissodactyla,Metazoa,ncbi,Euterpe edulis,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Carlos Botelho State Park,Southeastern Brazil,"Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functional redundancy and complementarities of seed dispersal by the last neotropical megafrugivores. Plos One, 8(2), e56252.",ncbi,Tapirus terrestris,Tapiridae,Mammalia,Perissodactyla,Metazoa,ncbi,Syagrus oleracea,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Carlos Botelho State Park,Southeastern Brazil,"Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functional redundancy and complementarities of seed dispersal by the last neotropical megafrugivores. Plos One, 8(2), e56252.",ncbi,Tapirus terrestris,Tapiridae,Mammalia,Perissodactyla,Metazoa,ncbi,Syagrus romanzoffiana,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Acacia,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Acacia concinna,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Acacia megaladena,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Acacia pennata,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Aegle marmelos,Rutaceae,NA,Sapindales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Albizzia chinensis,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Amaranthus spinosus,Amaranthaceae,NA,Caryophyllales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Amomum,Zingiberaceae,Liliopsida,Zingiberales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Amomum corynostachyum,Zingiberaceae,Liliopsida,Zingiberales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Antiaris toxicaria,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Arenga,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Bahuinia scandens,NA,NA,NA,NA,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Bambusa bambos,Poaceae,Liliopsida,Poales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Bambusa burmanica,Poaceae,Liliopsida,Poales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Bambusa polymorpha,Poaceae,Liliopsida,Poales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Bauhinia malabarica,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Butia superba,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Calamus,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Calamus areborescens,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Careya arborea,Lecythidaceae,NA,Ericales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Caryota,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Cassia fistula ,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Cedrela serrata,NA,NA,NA,NA,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Cephalostachyum pergracile,Poaceae,Liliopsida,Poales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Chromolaena odorata,Asteraceae,NA,Asterales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Commelina communis,Commelinaceae,Liliopsida,Commelinales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Convolvulaceae,Convolvulaceae,NA,Solanales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Cordia dichotoma,Cordiaceae,NA,Boraginales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Cordia grandis,Cordiaceae,NA,Boraginales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Costus speciosus,Costaceae,Liliopsida,Zingiberales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Croton oblongifolus ,Euphorbiaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Cycas siamensis,Cycadaceae,NA,Cycadales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Cyperus,Cyperaceae,Liliopsida,Poales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Dalbergia oliveri,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Dalbergia ovata,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Dalbergia volubilis,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Dillenia indica,Dilleniaceae,NA,Dilleniales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Dillenia parviflora,Dilleniaceae,NA,Dilleniales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Diospyros,Ebenaceae,NA,Ericales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Dipterocarpus,Dipterocarpaceae,NA,Malvales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Entada pursaetha,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Eragrostis japonica,Poaceae,Liliopsida,Poales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Ficus auricularia,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Ficus cunia,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Ficus glomerata,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Flacorurtia ramontchi,Salicaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Gardenia turgida,Rubiaceae,NA,Gentianales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Garuga pinnata,Burseraceae,NA,Sapindales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Gmelina arborea,Lamiaceae,NA,Lamiales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Grewia hirsuta,Malvaceae,NA,Malvales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Grewia humilis,Malvaceae,NA,Malvales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Heritiera fomes,Malvaceae,NA,Malvales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Heterophragma adenophylla,NA,NA,NA,NA,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Holarrhena antidysenterica,Apocynaceae,NA,Gentianales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Jasminum multiflorum,Oleaceae,NA,Lamiales,Viridiplantae,,,,,,
"Myanmar, Burma",,"Campos-Arceiz, A. Lin, T. Z. Htun, W. Takasuki, S. Leimgruber, P. 2008. Working with mahouts to explore the diet of work elephants in Myanmar (Burma)",ncbi,Elephas maximus,Elephantidae,Mammalia,Proboscidea,Metazoa,ncbi,Lagerstroemia tomentosa,Lythraceae,NA,Myrtales,Viridiplantae,,,,,,
