location,location2,Reference,SpeciesA_db,SpeciesA_query,SpeciesA_Family,SpeciesA_Class,SpeciesA_Order,SpeciesA_Kingdom,SpeciesB_db,SpeciesB_query,SpeciesB_Family,SpeciesB_Class,SpeciesB_Order,SpeciesB_Kingdom,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ziziphus attopensis,Rhamnaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Baccaurea ramiflora,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Gnetum montanum,Gnetaceae,NA,Gnetales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Sysygium cumini,Myrtaceae,NA,Myrtales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Machilus odoratissima,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Carallia brachiata,Rhizophoraceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Piper ribesoides,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Baccaurea ramiflora,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Antiaris toxicaria,Moraceae,NA,Rosales,Viridiplantae,,,,,,
