sourceTaxonId	sourceTaxonName	interactionTypeId	InteractionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Corvus macrorhynchos culminatus	RO:0002470	eats		Securinega		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Corvus splendens	RO:0002470	eats		Ficus benghalensis		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Corvus splendens	RO:0002470	eats		Lannaea coramandelica		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Corvus splendens	RO:0002470	eats		Manilkara henxandra		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Corvus splendens	RO:0002470	eats		Securinega		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus brachyotis	RO:0002470	eats		Atlantia monophylla		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus brachyotis	RO:0002470	eats		Gacinia spicata		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus brachyotis	RO:0002470	eats		Opilia amanitaceae		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus brachyotis	RO:0002470	eats		Syzyglum cumini		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Dendrocitta vagabunda	RO:0002470	eats		Lannaea coramandelica		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Dendrophthae falcata	RO:0002470	eats		Diaceum erythrorhynchos		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Lannaea coramandelica	RO:0002470	eats		Dinoplum bengalense		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Lorathus	RO:0002470	eats		Diaceum erythrorhynchos		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Macaca radiata	RO:0002470	eats		Ficus		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus amplissima		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus benghalensis		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus microcarpa		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus racemosa		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus religiosa 		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Nectarinia asiatica	RO:0002470	eats		Lepisanthes tetraphylla		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Nectarinia lotenia	RO:0002470	eats		Lepisanthes tetraphylla		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Nectarinia seylonica	RO:0002470	eats		Lepisanthes tetraphylla		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Orioulus oriolus	RO:0002470	eats		Ficus amplissima		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Orioulus oriolus	RO:0002470	eats		Ficus benghalensis		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Orioulus oriolus	RO:0002470	eats		Ficus infectoria		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Orioulus oriolus	RO:0002470	eats		Ficus religiosa 		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropodidae	RO:0002470	eats		Ficus amplissima		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropodidae	RO:0002470	eats		Ficus benghalensis		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropodidae	RO:0002470	eats		Ficus microcarpa		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropodidae	RO:0002470	eats		Ficus racemosa		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus	RO:0002470	eats		Atlantia monopylla		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus	RO:0002470	eats		Cassine glauca		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus	RO:0002470	eats		Cassine glauca		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus	RO:0002470	eats		Opilia amanitaceae		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus	RO:0002470	eats		Strychnos nux-vomica		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Atlantia monophylla		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Gacinia spicata		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Opilia amanitaceae		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Syzyglum cumini		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Securinega leucopyrus	RO:0002470	eats		Streptotela chinensis		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Sturnus roseus	RO:0002470	eats		Phoenix farinfera		Point Calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Sylvia curruca	RO:0002470	eats		Securinega leucopyrus		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Treron phoenicoptera	RO:0002470	eats		Ficus amplissima		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viscum capitellatum	RO:0002470	eats		Diaceum erythrorhynchos		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viscum orientale	RO:0002470	eats		Diaceum erythrorhynchos		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Cordia dichotoma		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Drypetes ferrea		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		G. rhaminifolia		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Manilkara henxandra		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Memecylon umbellatum		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Phoenix farinifera		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Ziziphus oeneophilia		Point calimere					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Zoothera citrina	RO:0002470	eats		Securinega leucopyrus		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Phoenix farinifera 		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Memecylon umbellatum		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Syzygium cumini		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Viverricula indica	RO:0002470	eats		Mimusops elengi		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Canis aureus	RO:0002470	eats		Cordia dichotoma		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Canis aureus	RO:0002470	eats		Diospyros ferrea		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Canis aureus	RO:0002470	eats		Grewia rhamnifolia		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Canis aureus	RO:0002470	eats		Phoenix farinifera 		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Canis aureus	RO:0002470	eats		Memecylon umbellatum		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Canis aureus	RO:0002470	eats		Syzygium cumini		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Canis aureus	RO:0002470	eats		Mimusops elengi		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Atlantia monophylla		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Atlantia monophylla		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Opilia amanitaceae		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Opilia amanitaceae		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Garcinia spicata		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Opilia amanitaceae		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Syzygium cumini		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Garcinia spicata		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Opilia amanitaceae		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Syzygium cumini		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Ficus amplissima		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Ficus benghalensis		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Ficus microcarpa		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Ficus racemosa		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Ficus amplissima		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Ficus benghalensis		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Ficus microcarpa		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Ficus racemosa		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Funambulus palmarum	RO:0002470	eats		Cordia dichotoma		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Macaca radiata	RO:0002470	eats		Strychnos nux-vomica		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Cassine glauca		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Cassine glauca		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Cynopterus sphinx	RO:0002470	eats		Strychnos nux-vomica		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Pteropus giganteus	RO:0002470	eats		Strychnos nux-vomica		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Treron bicinta	RO:0002470	eats		Zizyphus oenoplia		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Treron phoenicoptera	RO:0002470	eats		Ficus amplissima		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Treron phoenicoptera	RO:0002470	eats		Manilkara hexandra		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Treron phoenicoptera	RO:0002470	eats		Zizyphus oenoplia		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Treron phoenicoptera	RO:0002470	eats		Manilkara hexandra		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Oriolus oriolus	RO:0002470	eats		Ficus benghalensis		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Oriolus oriolus	RO:0002470	eats		Ficus religiosa		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Oriolus oriolus	RO:0002470	eats		Ficus infectoria		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus amplissima		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus microcarpa		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus benghalensis		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus racemosa		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Ficus religiosa		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Streptopelia chinensis	RO:0002470	eats		Securinega leucopyrus		"Point Calimere, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Dendrophthae falcata	RO:0002470	eats		Dinopium bengalense		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Dinopium bengalense	RO:0002470	eats		Loranthus		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Lannea coromandelica		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Viscum orientale		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Megalaima haemacephala	RO:0002470	eats		Viscum capitellatum		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Acrocephalus dumetorum	RO:0002470	eats		Salvadora persica		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Acrocephalus dumetorum	RO:0002470	eats		Slavadora persica		Sriharikota					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Sylvia curruca	RO:0002470	eats		Securinega leucopyrus		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Macaca radiata	RO:0002470	eats		Scutia myrtina		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
	Macaca radiata	RO:0002470	eats		Lannea coromandelica		"Shirarikota, India"					"David, P. Manakadan, R. & Ganesh, T. Frugivory and seed dispersal by birds and mammals in the coasta tropical dry evergreen forests of southern India: A review. Tropical Ecology 56(1): 41-28"
